순위,곡제목,가수명
1,밤양갱,비비 (BIBI)
2,Love wins all,아이유
3,첫 만남은 계획대로 되지 않아,TWS (투어스)
4,To. X,태연 (TAEYEON)
5,홀씨,아이유
6,비의 랩소디,임재현
7,EASY,LE SSERAFIM (르세라핌)
8,Love 119,RIIZE
9,Shopper,아이유
10,Perfect Night,LE SSERAFIM (르세라핌)
11,에피소드,이무진
12,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
13,Drama,aespa
14,헤어지자 말해요,박재정
15,Super Lady,(여자)아이들
16,Wife,(여자)아이들
17,인사,범진
18,사랑은 늘 도망가,임영웅
19,꿈,태연 (TAEYEON)
20,Seven (feat. Latto) - Clean Ver.,정국
21,나는 아픈 건 딱 질색이니까,(여자)아이들
22,I AM,IVE (아이브)
23,MANIAC,VIVIZ (비비지)
24,모래 알갱이,임영웅
25,우리들의 블루스,임영웅
26,Get A Guitar,RIIZE
27,Do or Die,임영웅
28,Love Lee,AKMU (악뮤)
29,다시 만날 수 있을까,임영웅
30,너의 모든 순간,성시경
31,Baddie,IVE (아이브)
32,이제 나만 믿어요,임영웅
33,예뻤어,DAY6 (데이식스)
34,사막에서 꽃을 피우듯,우디 (Woody)
35,무지개,임영웅
36,You & Me,제니 (JENNIE)
37,관객이 될게 (I stan U),아이유
38,한 페이지가 될 수 있게,DAY6 (데이식스)
39,퀸카 (Queencard),(여자)아이들
40,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
41,London Boy,임영웅
42,Super Shy,NewJeans
43,Hype Boy,NewJeans
44,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유
45,아버지,임영웅
46,Polaroid,임영웅
47,Ditto,NewJeans
48,후라이의 꿈,AKMU (악뮤)
49,인생찬가,임영웅
50,사랑인가 봐,멜로망스
51,ETA,NewJeans
52,천상연,이창섭
53,A bientot,임영웅
54,사건의 지평선,윤하 (YOUNHA)
55,Standing Next to You,정국
56,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
57,사랑할 수밖에,볼빨간사춘기
58,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
59,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
60,사랑하지 않아서 그랬어,임한별
61,취중고백,김민석
62,Spicy,aespa
63,그대가 내 안에 박혔다(그내박),순순희(기태)
64,심(心),DK(디셈버)
65,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
66,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
67,연애편지,임영웅
68,Dynamite,방탄소년단
69,I Don't Think That I Like Her,Charlie Puth
70,봄날,방탄소년단
71,LOVE DIVE,IVE (아이브)
72,별 떨어진다 (I Do),디오 (D.O.)
73,손오공,세븐틴 (SEVENTEEN)
74,첫 눈,EXO
75,사랑..그게 뭔데,지아
76,해요 (2022),#안녕
77,주저하는 연인들을 위해,잔나비
78,Kitsch,IVE (아이브)
79,음악의 신,세븐틴 (SEVENTEEN)
80,Steal The Show (From “엘리멘탈”),Lauv
81,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
82,"그대가 있는 곳, 언제 어디든",로이킴
83,After LIKE,IVE (아이브)
84,물론,허각
85,다정히 내 이름을 부르면,"경서예지, 전건호"
86,Discord,QWER
87,OMG,NewJeans
88,Dangerously,Charlie Puth
89,Fast Forward,전소미
90,그중에 그대를 만나,김호중
91,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
92,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
93,Attention,NewJeans
94,Butter,방탄소년단
95,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지"
96,Merry PLLIstmas,PLAVE
97,I Love You,안세하
98,Bubble,STAYC(스테이씨)
99,여섯 번째 여름,PLAVE
100,나에게 그대만이,탑현
